Date,AAP,Prediction AAP,Outcome AAP,MMM,Prediction MMM,Outcome MMM
2019-04-15,181.43,0.0,True,215.83,0.0,True
2019-04-16,179.95,,,216.9,,
2019-04-17,176.81,,,217.64,,
2019-04-18,175.4,,,218.88,,
2019-04-22,170.08,,,218.54,,
2019-04-23,172.47,,,219.5,,
2019-04-24,171.86,,,219.08,,
2019-04-25,170.64,,,190.72,,
2019-04-26,170.19,,,191.67,,
2019-04-29,166.77,,,190.21,,
2019-04-30,166.32,,,189.51,,
2019-05-01,163.83,,,186.07,,
2019-05-02,166.78,,,184.75,,
2019-05-03,163.27,,,185.22,,
2019-05-06,161.99,,,183.04,,
2019-05-07,160.66,,,179.12,,
2019-05-08,158.62,,,178.59,,
2019-05-09,159.89,,,175.28,,
2019-05-10,158.12,,,175.86,,
2019-05-13,155.37,,,174.07,,
2019-05-14,155.75,,,175.21,,
2019-05-15,155.83,,,174.12,,
2019-05-16,157.28,,,171.81,,
2019-05-17,157.97,,,169.09,,
2019-05-20,158.64,,,166.25,,
2019-05-21,161.3,,,167.3,,
2019-05-22,166.29,,,169.74,,
2019-05-23,159.8,,,165.87,,
2019-05-24,158.09,1.0,True,166.09,1.0,True
2019-05-28,154.56,,,163.35,,
2019-05-29,155.78,,,161.4,,
2019-05-30,159.39,,,160.58,,
2019-05-31,155.0,,,159.75,,
2019-06-03,153.17,,,160.04,,
2019-06-04,154.61,,,164.29,,
2019-06-05,154.61,,,163.85,,
2019-06-06,154.9,,,164.72,,
2019-06-07,155.35,,,166.61,,
2019-06-10,153.52,,,168.29,,
2019-06-11,152.17,,,168.91,,
2019-06-12,150.54,,,169.01,,
2019-06-13,150.61,,,168.85,,
2019-06-14,151.8,,,166.69,,
2019-06-17,151.74,,,166.78,,
2019-06-18,154.83,,,171.86,,
2019-06-19,153.77,,,170.75,,
2019-06-20,153.27,,,173.94,,
2019-06-21,153.24,,,173.35,,
2019-06-24,152.33,,,173.38,,
2019-06-25,154.5,,,172.03,,
2019-06-26,149.93,,,171.88,,
2019-06-27,151.71,,,171.5,,
2019-06-28,154.14,,,173.34,,
2019-07-01,156.59,,,174.51,,
2019-07-02,159.79,,,174.02,,
2019-07-03,160.63,,,174.98,,
2019-07-05,160.62,0.0,True,172.0,1.0,False
2019-07-08,158.19,,,169.19,,
2019-07-09,155.5,,,165.7,,
2019-07-10,156.43,,,165.7,,
2019-07-11,156.29,,,169.04,,
2019-07-12,158.58,,,173.34,,
2019-07-15,158.92,,,172.84,,
2019-07-16,161.76,,,176.49,,
2019-07-17,157.67,,,174.67,,
2019-07-18,157.9,,,173.06,,
2019-07-19,156.93,,,172.61,,
2019-07-22,158.9,,,174.64,,
2019-07-23,157.64,,,177.52,,
2019-07-24,158.5,,,179.42,,
2019-07-25,150.03,,,178.13,,
2019-07-26,152.62,,,173.98,,
2019-07-29,153.04,,,176.76,,
2019-07-30,151.8,,,177.63,,
2019-07-31,150.64,,,174.72,,
2019-08-01,149.95,,,173.36,,
2019-08-02,145.78,,,170.55,,
2019-08-05,143.16,,,164.71,,
2019-08-06,145.64,,,163.71,,
2019-08-07,144.04,,,163.64,,
2019-08-08,144.43,,,164.22,,
2019-08-09,144.33,,,163.47,,
2019-08-12,142.16,,,162.1,,
2019-08-13,142.23,,,164.88,,
2019-08-14,136.49,1.0,True,158.81,1.0,True
2019-08-15,137.5,,,156.84,,
2019-08-16,136.59,,,161.5,,
2019-08-19,136.35,,,162.95,,
2019-08-20,135.38,,,161.01,,
2019-08-21,136.23,,,161.15,,
2019-08-22,137.5,,,160.88,,
2019-08-23,135.05,,,155.85,,
2019-08-26,135.0,,,156.12,,
2019-08-27,134.89,,,155.75,,
2019-08-28,136.76,,,157.55,,
2019-08-29,138.07,,,160.36,,
2019-08-30,137.95,,,161.72,,
2019-09-03,140.36,,,158.64,,
2019-09-04,141.89,,,160.07,,
2019-09-05,146.55,,,164.23,,
2019-09-06,147.21,,,163.94,,
2019-09-09,147.43,,,165.94,,
2019-09-10,154.7,,,168.86,,
2019-09-11,158.86,,,168.08,,
2019-09-12,155.2,,,170.58,,
2019-09-13,157.0,,,171.44,,
2019-09-16,156.07,,,169.67,,
2019-09-17,156.07,,,168.07,,
2019-09-18,153.79,,,167.44,,
2019-09-19,152.8,,,167.07,,
2019-09-20,155.69,,,166.76,,
2019-09-23,161.22,,,166.76,,
2019-09-24,159.22,0.0,False,164.74,1.0,True
2019-09-25,162.28,,,164.0,,
2019-09-26,160.38,,,163.83,,
2019-09-27,161.68,,,164.53,,
2019-09-30,165.4,,,164.4,,
2019-10-01,167.29,,,158.38,,
2019-10-02,162.96,,,155.65,,
2019-10-03,159.86,,,155.23,,
2019-10-04,159.94,,,155.82,,
2019-10-07,158.27,,,153.52,,
2019-10-08,154.33,,,150.74,,
2019-10-09,154.41,,,150.99,,
2019-10-10,155.95,,,152.31,,
2019-10-11,158.56,,,158.1,,
2019-10-14,157.32,,,160.51,,
2019-10-15,159.73,,,162.98,,
2019-10-16,162.75,,,162.18,,
2019-10-17,163.75,,,163.54,,
2019-10-18,163.5,,,163.1,,
2019-10-21,166.03,,,165.94,,
2019-10-22,165.98,,,167.54,,
2019-10-23,165.12,,,168.76,,
2019-10-24,166.81,,,161.89,,
2019-10-25,165.56,,,166.09,,
2019-10-28,166.41,,,169.06,,
