Date,AMD,Prediction AMD,Outcome AMD,AAP,Prediction AAP,Outcome AAP
2019-04-15,27.33,0.0,True,181.43,0.0,True
2019-04-16,27.93,,,179.95,,
2019-04-17,27.49,,,176.81,,
2019-04-18,27.68,,,175.4,,
2019-04-22,28.18,,,170.08,,
2019-04-23,27.97,,,172.47,,
2019-04-24,28.46,,,171.86,,
2019-04-25,27.66,,,170.64,,
2019-04-26,27.88,,,170.19,,
2019-04-29,27.69,,,166.77,,
2019-04-30,27.63,,,166.32,,
2019-05-01,26.81,,,163.83,,
2019-05-02,28.29,,,166.78,,
2019-05-03,28.22,,,163.27,,
2019-05-06,27.42,,,161.99,,
2019-05-07,26.66,,,160.66,,
2019-05-08,27.09,,,158.62,,
2019-05-09,27.21,,,159.89,,
2019-05-10,27.96,,,158.12,,
2019-05-13,26.24,,,155.37,,
2019-05-14,27.32,,,155.75,,
2019-05-15,27.58,,,155.83,,
2019-05-16,28.01,,,157.28,,
2019-05-17,27.5,,,157.97,,
2019-05-20,26.68,,,158.64,,
2019-05-21,27.35,,,161.3,,
2019-05-22,27.41,,,166.29,,
2019-05-23,26.36,,,159.8,,
2019-05-24,26.44,1.0,True,158.09,1.0,True
2019-05-28,29.05,,,154.56,,
2019-05-29,28.09,,,155.78,,
2019-05-30,28.03,,,159.39,,
2019-05-31,27.41,,,155.0,,
2019-06-03,27.58,,,153.17,,
2019-06-04,29.57,,,154.61,,
2019-06-05,29.5,,,154.61,,
2019-06-06,31.82,,,154.9,,
2019-06-07,32.41,,,155.35,,
2019-06-10,33.23,,,153.52,,
2019-06-11,32.41,,,152.17,,
2019-06-12,32.18,,,150.54,,
2019-06-13,31.39,,,150.61,,
2019-06-14,30.36,,,151.8,,
2019-06-17,29.2,,,151.74,,
2019-06-18,30.45,,,154.83,,
2019-06-19,30.5,,,153.77,,
2019-06-20,30.01,,,153.27,,
2019-06-21,29.1,,,153.24,,
2019-06-24,29.26,,,152.33,,
2019-06-25,28.86,,,154.5,,
2019-06-26,29.92,,,149.93,,
2019-06-27,30.74,,,151.71,,
2019-06-28,30.37,,,154.14,,
2019-07-01,31.2,,,156.59,,
2019-07-02,31.24,,,159.79,,
2019-07-03,31.19,,,160.63,,
2019-07-05,31.5,1.0,True,160.62,0.0,True
2019-07-08,32.04,,,158.19,,
2019-07-09,33.15,,,155.5,,
2019-07-10,33.79,,,156.43,,
2019-07-11,33.06,,,156.29,,
2019-07-12,33.21,,,158.58,,
2019-07-15,34.39,,,158.92,,
2019-07-16,33.85,,,161.76,,
2019-07-17,33.6,,,157.67,,
2019-07-18,33.0,,,157.9,,
2019-07-19,32.51,,,156.93,,
2019-07-22,32.85,,,158.9,,
2019-07-23,33.49,,,157.64,,
2019-07-24,34.11,,,158.5,,
2019-07-25,33.67,,,150.03,,
2019-07-26,34.02,,,152.62,,
2019-07-29,33.48,,,153.04,,
2019-07-30,33.87,,,151.8,,
2019-07-31,30.45,,,150.64,,
2019-08-01,29.86,,,149.95,,
2019-08-02,29.44,,,145.78,,
2019-08-05,27.99,,,143.16,,
2019-08-06,28.86,,,145.64,,
2019-08-07,29.19,,,144.04,,
2019-08-08,33.92,,,144.43,,
2019-08-09,34.19,,,144.33,,
2019-08-12,32.43,,,142.16,,
2019-08-13,32.11,,,142.23,,
2019-08-14,30.24,1.0,True,136.49,1.0,True
