Date,ACN,Prediction ACN,AES,Prediction AES
2019-04-15,179.3,1.0,18.09,0.0
2019-04-16,179.06,,17.83,
2019-04-17,178.95,,17.7,
2019-04-18,178.61,,17.72,
2019-04-22,178.07,,17.69,
2019-04-23,180.48,,17.75,
2019-04-24,180.81,,17.73,
2019-04-25,179.95,,17.59,
2019-04-26,180.83,,17.46,
2019-04-29,181.21,,17.22,
2019-04-30,182.67,,17.12,
2019-05-01,181.31,,16.9,
2019-05-02,179.39,,17.05,
2019-05-03,176.98,,16.93,
2019-05-06,176.26,,16.81,
2019-05-07,173.94,,16.53,
2019-05-08,173.82,,15.98,
2019-05-09,174.46,,16.12,
2019-05-10,174.3,,16.25,
2019-05-13,171.02,,16.11,
2019-05-14,173.61,,16.08,
2019-05-15,175.4,,16.22,
2019-05-16,178.17,,16.35,
2019-05-17,178.33,,16.34,
2019-05-20,178.54,,16.24,
2019-05-21,179.57,,16.37,
2019-05-22,180.39,,16.55,
2019-05-23,178.27,,16.79,
2019-05-24,178.81,,16.5,
2019-05-28,178.39,,16.34,
2019-05-29,177.61,,16.06,
2019-05-30,178.82,,15.89,
2019-05-31,178.07,,15.8,
2019-06-03,175.16,,15.93,
2019-06-04,177.97,,16.08,
2019-06-05,179.56,,16.49,
2019-06-06,180.4,,16.96,
2019-06-07,182.92,,16.7,
2019-06-10,184.44,,16.43,
2019-06-11,183.37,,16.38,
2019-06-12,184.59,,16.76,
2019-06-13,184.95,,16.86,
2019-06-14,184.97,,17.09,
2019-06-17,183.9,,16.83,
2019-06-18,184.5,,16.84,
2019-06-19,183.95,,16.57,
2019-06-20,186.52,,16.93,
2019-06-21,185.56,,16.76,
2019-06-24,186.11,,16.63,
2019-06-25,184.9,,16.65,
2019-06-26,183.31,,16.32,
2019-06-27,183.0,,16.54,
2019-06-28,184.77,,16.76,
2019-07-01,186.87,,16.77,
2019-07-02,188.6,,16.95,
2019-07-03,190.97,,17.28,
2019-07-05,191.39,,17.12,
2019-07-08,190.31,,17.15,
2019-07-09,191.09,,17.06,
2019-07-10,191.71,,16.99,
2019-07-11,194.67,,16.96,
2019-07-12,196.21,,17.08,
2019-07-15,195.32,,17.15,
2019-07-16,194.25,,17.29,
2019-07-17,193.81,,17.65,
2019-07-18,194.82,,17.53,
2019-07-19,193.93,,17.22,
2019-07-22,194.44,,17.06,
2019-07-23,194.46,,16.83,
2019-07-24,194.47,,16.87,
2019-07-25,194.97,,16.91,
2019-07-26,196.93,,16.94,
2019-07-29,197.35,,17.06,
2019-07-30,195.65,,17.15,
2019-07-31,192.58,,16.79,
2019-08-01,194.16,,17.3,
2019-08-02,193.01,,16.83,
2019-08-05,185.55,,16.32,
2019-08-06,188.81,,15.7,
2019-08-07,188.87,,15.67,
2019-08-08,194.18,,15.85,
2019-08-09,191.48,,15.57,
2019-08-12,190.0,,15.24,
2019-08-13,192.88,,15.17,
2019-08-14,186.97,,14.79,
2019-08-15,189.56,,14.77,
2019-08-16,193.22,,15.2,
2019-08-19,195.18,,15.36,
2019-08-20,194.2,,15.19,
2019-08-21,195.73,,15.32,
2019-08-22,196.34,,15.2,
2019-08-23,192.81,,14.79,
2019-08-26,195.47,,14.84,
2019-08-27,197.16,,14.61,
2019-08-28,196.84,,14.86,
2019-08-29,198.74,,15.12,
2019-08-30,198.17,,15.33,
2019-09-03,195.75,,15.34,
2019-09-04,197.71,,15.29,
