Date,ABBV,Prediction ABBV,ADBE,Prediction ADBE
2019-04-15,81.03,1.0,272.22,0.0
2019-04-16,80.21,0.0,271.43,0.0
2019-04-17,77.98,0.0,269.45,0.0
2019-04-18,77.57,0.0,270.57,0.0
2019-04-22,78.15,0.0,272.21,0.0
2019-04-23,78.66,0.0,278.49,0.0
2019-04-24,78.67,0.0,275.45,0.0
2019-04-25,79.34,0.0,277.66,0.0
2019-04-26,79.7,0.0,281.96,0.0
2019-04-29,80.3,0.0,286.14,0.0
2019-04-30,79.39,0.0,289.25,0.0
2019-05-01,78.89,0.0,283.35,0.0
2019-05-02,78.47,0.0,279.64,0.0
2019-05-03,78.71,0.0,285.58,0.0
2019-05-06,79.26,0.0,283.66,0.0
2019-05-07,77.95,0.0,277.07,0.0
2019-05-08,77.99,0.0,276.77,0.0
2019-05-09,77.91,0.0,275.79,0.0
2019-05-10,77.45,0.0,278.48,0.0
2019-05-13,76.87,0.0,267.7,0.0
2019-05-14,78.44,0.0,271.86,0.0
2019-05-15,78.78,0.0,276.82,0.0
2019-05-16,79.5,0.0,283.55,0.0
2019-05-17,79.46,0.0,279.85,0.0
2019-05-20,79.82,0.0,275.45,0.0
2019-05-21,80.88,0.0,278.07,0.0
2019-05-22,81.59,0.0,281.82,0.0
2019-05-23,81.15,0.0,274.25,0.0
2019-05-24,80.06,0.0,274.77,0.0
2019-05-28,78.03,0.0,278.25,0.0
2019-05-29,78.06,0.0,273.38,0.0
2019-05-30,77.61,0.0,274.51,0.0
2019-05-31,76.71,0.0,270.9,0.0
2019-06-03,75.7,0.0,259.03,0.0
2019-06-04,76.75,0.0,268.71,0.0
2019-06-05,77.06,0.0,272.86,0.0
2019-06-06,77.07,0.0,274.8,0.0
2019-06-07,77.43,0.0,278.16,0.0
2019-06-10,76.95,0.0,280.34,0.0
2019-06-11,78.17,0.0,275.99,0.0
2019-06-12,78.57,0.0,276.84,0.0
2019-06-13,78.95,0.0,276.3,0.0
2019-06-14,78.69,0.0,274.28,0.0
2019-06-17,78.65,0.0,275.6,0.0
2019-06-18,78.25,0.0,276.78,0.0
2019-06-19,77.61,0.0,291.21,0.0
2019-06-20,78.34,0.0,302.11,0.0
2019-06-21,78.78,0.0,299.33,0.0
2019-06-24,78.45,0.0,299.87,0.0
2019-06-25,65.7,0.0,287.97,0.0
2019-06-26,68.0,0.0,288.72,0.0
2019-06-27,70.0,0.0,293.23,0.0
2019-06-28,72.72,0.0,294.65,0.0
2019-07-01,73.4,0.0,300.97,0.0
2019-07-02,74.23,0.0,301.39,0.0
2019-07-03,74.96,0.0,305.7,0.0
2019-07-05,72.99,0.0,303.98,0.0
2019-07-08,71.22,0.0,302.92,0.0
2019-07-09,71.24,0.0,304.2,0.0
2019-07-10,71.65,0.0,306.98,0.0
2019-07-11,71.24,0.0,307.6,0.0
2019-07-12,70.28,0.0,309.42,0.0
2019-07-15,70.27,0.0,308.76,0.0
2019-07-16,69.16,0.0,305.7,0.0
2019-07-17,68.32,0.0,309.39,0.0
2019-07-18,68.25,0.0,310.08,0.0
2019-07-19,68.54,0.0,306.87,0.0
2019-07-22,68.0,0.0,308.55,0.0
2019-07-23,67.73,0.0,307.88,0.0
2019-07-24,67.46,0.0,310.27,0.0
2019-07-25,66.66,0.0,308.73,0.0
2019-07-26,67.76,0.0,311.27,0.0
2019-07-29,67.18,0.0,307.22,0.0
2019-07-30,67.18,0.0,303.64,0.0
2019-07-31,66.62,0.0,298.86,0.0
2019-08-01,65.8,0.0,298.44,0.0
2019-08-02,65.35,0.0,293.71,0.0
2019-08-05,65.23,0.0,280.36,0.0
2019-08-06,64.77,0.0,286.21,0.0
2019-08-07,64.46,0.0,289.02,0.0
2019-08-08,65.45,0.0,297.78,0.0
2019-08-09,65.58,0.0,294.83,0.0
2019-08-12,64.53,0.0,288.65,0.0
2019-08-13,65.01,0.0,293.17,0.0
2019-08-14,63.5,0.0,283.66,0.0
2019-08-15,62.98,0.0,282.71,0.0
2019-08-16,64.43,0.0,287.45,0.0
2019-08-19,66.56,0.0,287.97,0.0
2019-08-20,66.41,0.0,285.71,0.0
2019-08-21,67.54,0.0,291.53,0.0
2019-08-22,67.52,0.0,287.69,0.0
2019-08-23,65.97,0.0,282.44,0.0
2019-08-26,66.46,0.0,288.74,0.0
2019-08-27,65.67,0.0,289.45,0.0
2019-08-28,66.07,0.0,282.13,0.0
2019-08-29,66.22,0.0,286.63,0.0
2019-08-30,65.74,0.0,284.51,0.0
2019-09-03,65.4,0.0,282.45,0.0
2019-09-04,66.38,0.0,284.6,0.0
2019-09-05,67.03,0.0,287.75,0.0
2019-09-06,67.62,1.0,284.94,1.0
2019-09-09,66.7,0.0,279.3,0.0
2019-09-10,68.18,0.0,276.14,0.0
2019-09-11,69.49,0.0,277.78,0.0
2019-09-12,70.83,0.0,278.02,0.0
2019-09-13,70.51,0.0,278.35,0.0
2019-09-16,70.58,0.0,282.93,0.0
2019-09-17,71.6,0.0,284.69,0.0
2019-09-18,71.27,0.0,279.72,0.0
2019-09-19,71.67,0.0,281.26,0.0
2019-09-20,72.39,0.0,277.91,0.0
2019-09-23,72.93,0.0,277.44,0.0
2019-09-24,72.95,0.0,272.47,0.0
2019-09-25,72.09,0.0,277.43,0.0
2019-09-26,74.03,0.0,283.81,0.0
2019-09-27,74.85,0.0,277.54,0.0
2019-09-30,75.72,0.0,276.25,0.0
2019-10-01,73.23,0.0,272.71,0.0
2019-10-02,72.13,0.0,266.66,0.0
2019-10-03,73.85,0.0,272.4,0.0
2019-10-04,74.66,0.0,276.96,0.0
2019-10-07,74.33,0.0,276.9,0.0
2019-10-08,73.53,0.0,270.83,0.0
2019-10-09,73.3,0.0,274.27,0.0
2019-10-10,74.45,0.0,274.98,0.0
2019-10-11,73.63,0.0,278.29,0.0
2019-10-14,73.76,0.0,277.78,0.0
2019-10-15,74.5,0.0,279.39,0.0
2019-10-16,74.75,0.0,272.7,0.0
2019-10-17,75.14,0.0,269.24,0.0
2019-10-18,76.46,0.0,265.52,0.0
2019-10-21,77.3,0.0,266.84,0.0
2019-10-22,77.87,0.0,261.09,0.0
2019-10-23,77.75,0.0,261.32,0.0
2019-10-24,76.8,0.0,269.7,0.0
2019-10-25,76.53,0.0,270.98,0.0
2019-10-28,78.33,0.0,271.35,0.0
2019-10-29,78.47,0.0,271.45,0.0
2019-10-30,79.66,0.0,278.41,0.0
2019-10-31,79.55,0.0,277.93,0.0
2019-11-01,81.75,0.0,277.82,0.0
2019-11-04,82.99,0.0,277.5,0.0
2019-11-05,81.84,0.0,289.29,0.0
2019-11-06,82.08,0.0,287.4,0.0
2019-11-07,82.01,0.0,290.77,0.0
2019-11-08,85.21,0.0,292.46,0.0
2019-11-11,85.66,0.0,290.27,0.0
2019-11-12,86.44,0.0,291.72,0.0
2019-11-13,86.66,0.0,293.54,0.0
2019-11-14,87.63,0.0,294.53,0.0
2019-11-15,88.63,0.0,297.5,0.0
2019-11-18,88.73,0.0,297.16,0.0
2019-11-19,89.02,0.0,300.6,0.0
2019-11-20,87.2,0.0,300.1,0.0
2019-11-21,86.52,0.0,298.8,0.0
2019-11-22,86.05,0.0,299.3,0.0
2019-11-25,87.76,0.0,305.28,0.0
2019-11-26,87.72,0.0,307.9,0.0
2019-11-27,88.33,0.0,309.06,0.0
2019-11-29,87.73,0.0,309.53,0.0
2019-12-02,87.03,0.0,302.75,0.0
2019-12-03,85.95,0.0,303.91,0.0
2019-12-04,87.2,0.0,302.51,0.0
2019-12-05,86.72,0.0,303.03,0.0
2019-12-06,86.98,0.0,306.23,0.0
2019-12-09,86.44,0.0,307.05,0.0
2019-12-10,86.56,0.0,304.17,0.0
2019-12-11,86.7,0.0,303.74,0.0
2019-12-12,88.73,0.0,305.96,0.0
2019-12-13,87.84,0.0,317.94,0.0
2019-12-16,89.43,0.0,323.8,0.0
2019-12-17,90.08,0.0,322.85,0.0
2019-12-18,89.33,0.0,324.38,0.0
2019-12-19,88.77,0.0,327.63,0.0
2019-12-20,89.29,0.0,327.61,0.0
2019-12-23,90.25,0.0,328.95,0.0
2019-12-24,89.85,0.0,329.64,0.0
2019-12-26,89.83,0.0,331.2,0.0
2019-12-27,89.2,0.0,330.79,0.0
2019-12-30,88.52,0.0,328.34,0.0
2019-12-31,88.54,0.0,329.81,0.0
2020-01-02,89.55,0.0,334.43,0.0
2020-01-03,88.7,0.0,331.81,0.0
2020-01-06,89.4,0.0,333.71,0.0
2020-01-07,88.89,0.0,333.39,0.0
2020-01-08,89.52,0.0,337.87,0.0
2020-01-09,90.21,0.0,340.45,0.0
2020-01-10,89.06,0.0,339.81,0.0
2020-01-13,88.52,0.0,345.63,0.0
2020-01-14,88.2,0.0,344.63,0.0
2020-01-15,89.26,0.0,342.94,0.0
2020-01-16,89.26,0.0,345.38,0.0
2020-01-17,88.0,0.0,349.74,0.0
2020-01-21,87.99,0.0,350.0,0.0
2020-01-22,87.21,0.0,350.06,0.0
2020-01-23,85.27,0.0,351.76,0.0
2020-01-24,83.54,0.0,351.37,0.0
2020-01-27,84.02,0.0,346.9,0.0
2020-01-28,83.77,0.0,354.63,0.0
2020-01-29,83.2,0.0,351.66,0.0
2020-01-30,81.78,0.0,356.74,0.0
2020-01-31,81.02,0.0,351.14,0.0
2020-02-03,82.3,0.0,358.0,0.0
2020-02-04,84.36,0.0,366.74,0.0
2020-02-05,86.63,0.0,365.55,0.0
2020-02-06,87.18,0.0,367.46,0.0
2020-02-07,92.29,0.0,366.09,0.0
2020-02-10,94.75,0.0,370.0,0.0
2020-02-11,96.0,0.0,369.28,0.0
2020-02-12,97.79,0.0,374.29,0.0
2020-02-13,95.35,0.0,374.84,0.0
2020-02-14,94.05,0.0,379.67,0.0
2020-02-18,93.61,0.0,378.85,0.0
2020-02-19,94.14,0.0,383.28,0.0
2020-02-20,94.23,0.0,378.96,0.0
2020-02-21,94.96,0.0,372.95,0.0
2020-02-24,93.14,0.0,357.41,0.0
2020-02-25,89.18,0.0,347.8,0.0
2020-02-26,88.41,0.0,351.34,0.0
2020-02-27,85.42,0.0,337.52,0.0
2020-02-28,85.71,0.0,345.12,0.0
2020-03-02,88.69,0.0,360.28,0.0
2020-03-03,87.57,0.0,348.34,0.0
2020-03-04,91.75,0.0,363.85,0.0
2020-03-05,90.61,0.0,351.03,0.0
2020-03-06,88.82,0.0,336.77,0.0
2020-03-09,85.27,0.0,305.79,0.0
2020-03-10,87.53,0.0,332.38,0.0
2020-03-11,84.85,0.0,315.23,0.0
2020-03-12,78.61,0.0,285.0,0.0
2020-03-13,85.37,0.0,335.5,0.0
2020-03-16,74.27,0.0,286.03,0.0
2020-03-17,73.02,0.0,311.81,0.0
2020-03-18,71.03,0.0,294.61,0.0
2020-03-19,71.06,0.0,307.51,0.0
2020-03-20,68.82,0.0,295.34,0.0
2020-03-23,64.5,0.0,307.27,0.0
2020-03-24,67.49,0.0,310.0,0.0
2020-03-25,67.91,0.0,305.91,0.0
2020-03-26,73.83,0.0,322.67,0.0
2020-03-27,72.67,0.0,305.83,0.0
2020-03-30,75.24,0.0,318.39,0.0
2020-03-31,76.19,0.0,318.24,0.0
2020-04-01,73.42,0.0,301.21,0.0
2020-04-02,75.13,0.0,303.96,0.0
2020-04-03,73.37,0.0,293.61,0.0
2020-04-06,75.73,0.0,319.13,0.0
2020-04-07,75.39,0.0,308.93,0.0
2020-04-08,78.56,0.0,317.18,0.0
2020-04-09,79.75,0.0,318.7,0.0
